PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
28551	0	com.apple.progressd
-	0	com.apple.enhancedloggingd
814	0	com.apple.cloudphotod
8076	0	com.apple.MENotificationService
39319	-15	com.apple.Finder
803	0	com.apple.homed
29158	0	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
924	0	com.apple.mediaremoteagent
734	0	com.apple.FontWorker
41271	0	application.com.jetbrains.CLion.7209618.7227671
908	0	application.com.renfei.SnippetsLab.904455.904653
728	0	com.apple.bird
-	0	com.apple.amp.mediasharingd
37997	-9	com.apple.knowledgeconstructiond
2482	0	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
928	0	application.us.electronic.mas.macdroid.8181790.8182618
-	0	com.apple.tcc.AuthorizationPromptService
5826	0	com.apple.GameController.gamecontrolleragentd
-	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
779	0	com.apple.nsurlsessiond
12132	0	com.apple.devicecheckd
-	0	com.apple.syncservices.uihandler
729	0	com.apple.iconservices.iconservicesagent
1238	0	com.apple.diagnosticextensionsd
29536	0	com.apple.intelligenceplatformd
29157	0	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
-	0	com.apple.LinkedNotesUIService
28996	0	com.apple.ndoagent
712	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
40755	0	application.com.openai.codex.14746659.14746666
788	0	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
21213	0	com.apple.commerce
30524	0	application.com.googlecode.iterm2.656112.656132
-	0	com.apple.AddressBook.SourceSync
1737	0	com.apple.messagesescrowd
-	0	com.apple.installerauthagent
939	0	application.com.crowdcafe.windowmagnet.790197.790358
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
769	0	com.apple.ManagedSettingsAgent
762	0	com.apple.photolibraryd
-	0	com.dotfiles.machine-env-guard
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
1254	0	com.apple.ThreadCommissionerService
15777	0	com.apple.tipsd
808	0	com.apple.campo
29327	0	com.apple.stickersd
970	0	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
890	0	com.apple.TextInputMenuAgent
930	0	application.com.chouti.github-streak.904237.904350
-	0	com.apple.bluetoothUIServer
-	0	ai.openclaw.dotsync-2200
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
-	0	com.jetbrains.AppCode.BridgeService
893	0	com.microsoft.teams2.agent
-	0	com.apple.MRTa
-	0	com.apple.MediaRemoteUI
763	0	com.apple.CommCenter
46877	0	com.apple.mdworker.shared.01000000-0300-0000-0000-000000000000
711	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
11067	0	com.apple.filederivatived
52271	0	com.apple.mdworker.shared.06000000-0200-0000-0000-000000000000
