PID	Status	Label
-	0	com.apple.SafariHistoryServiceAgent
1779	0	com.apple.progressd
-	0	com.apple.enhancedloggingd
810	0	application.com.sindresorhus.Day-Progress.580366.580371
1185	0	com.apple.cloudphotod
1008	0	com.apple.MENotificationService
837	0	application.com.googlecode.iterm2.1076546.1076564
32639	-15	com.apple.Finder
830	0	com.apple.homed
1995	0	com.apple.dataaccess.dataaccessd
-	0	com.apple.quicklook
-	0	com.apple.parentalcontrols.check
940	0	com.apple.mediaremoteagent
662	0	com.apple.FontWorker
651	0	com.apple.bird
-	0	com.apple.amp.mediasharingd
33843	-9	com.apple.knowledgeconstructiond
1001	0	com.apple.inputanalyticsd
-	0	com.apple.familycontrols.useragent
-	0	com.apple.AssetCache.agent
839	0	com.apple.GameController.gamecontrolleragentd
-	0	com.apple.universalaccessAuthWarn
-	0	com.apple.UserPictureSyncAgent
669	0	com.apple.nsurlsessiond
4960	0	com.apple.devicecheckd
1984	0	application.com.wacom.UpgradeHelper.1165446.1165451.423DCEDF-7A87-4546-8D1D-2D18BA568A9F
792	0	application.com.chouti.github-streak.1179766.1179772
-	0	com.apple.syncservices.uihandler
649	0	com.apple.iconservices.iconservicesagent
1282	0	com.apple.diagnosticextensionsd
2608	0	com.apple.intelligenceplatformd
1913	0	com.apple.SafariBookmarksSyncAgent
-	0	com.apple.cmio.LaunchCMIOUserExtensionsAgent
-	0	com.apple.LinkedNotesUIService
1095	0	com.apple.ndoagent
644	0	com.apple.wallpaper.agent
-	0	com.apple.bookassetd
-	0	com.apple.ManagedClientAgent.agent
781	0	com.apple.localizationswitcherd
-	0	com.apple.screensharing.agent
-	0	com.apple.commerce
-	0	com.apple.AddressBook.SourceSync
-	0	com.apple.installerauthagent
-	0	com.apple.languageassetd
-	0	com.apple.familynotificationd
668	0	com.apple.ManagedSettingsAgent
762	0	com.apple.photolibraryd
61850	0	com.dotfiles.machine-env-guard
-	0	com.apple.xpc.otherbsd
-	0	com.apple.sysdiagnose_agent
1196	0	com.apple.ThreadCommissionerService
1925	0	com.apple.tipsd
-	0	com.apple.stickersd
1111	0	com.apple.bluetoothuserd
-	0	com.apple.timezoneupdates.tznotify
741	0	com.apple.TextInputMenuAgent
-	0	com.apple.bluetoothUIServer
-	0	com.apple.accessibility.LiveTranscriptionAgent
-	0	com.apple.assistant_service
-	0	com.apple.MRTa
701	0	com.apple.CommCenter
636	0	com.apple.trustd.agent
-	0	com.apple.MailServiceAgent
-	0	com.apple.mdworker.mail
-	0	com.apple.appkit.xpc.ColorSampler
600	0	com.apple.cfprefsd.xpc.agent
-	0	com.apple.coreimportd
61844	0	com.apple.mdworker.shared.0F000000-0100-0000-0000-000000000000
2652	0	com.apple.CoreDevice.remotepairingd
678	0	com.apple.TrustedPeersHelper
-	0	com.apple.cvmsCompAgent3600_arm64_1
-	0	com.apple.DataDetectorsLocalSources
-	0	com.apple.unmountassistant.useragent
-	0	com.apple.facetimemessagestored
-	0	com.apple.AutoFillPanel
2676	0	com.apple.peopled
-	0	com.apple.remotecompositorclientd
-	0	com.apple.PosterBoard
700	0	com.apple.replicatord
891	0	com.apple.keyboardservicesd
709	0	com.apple.accessibility.axassetsd
646	0	com.apple.quicklook.ThumbnailsAgent
2381	0	com.apple.Safari.PasswordBreachAgent
